Watershed.full,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Upper Sacramento River,3982,21766,29966,32515,22435,10623,13824,5311,23134,14097,46568,44950,34050,66485
Antelope Creek,138,6,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Battle Creek,1236,3642,27064,30834,31554,12513,6631,3047,4286,9904,19493,20520,23861,64764
Bear Creek,32,2,NA,NA,NA,NA,NA,6,19,140,NA,NA,NA,NA
Big Chico Creek,,,,,,,,,,,,,,
Butte Creek,83,82,1412,2200,813,416,370,306,275,1225,1920,4255,2516,3492
Clear Creek,2481,8809,15794,13337,7631,4841,7192,3228,7677,4157,8422,14824,6365,9475
Cottonwood Creek,813,604,1940,2774,2556,2144,1137,1055,510,1250,NA,NA,NA,NA
Cow Creek,822,591,3535,3011,1488,1810,536,261,478,2044,4209,NA,NA,NA
Deer Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elder Creek,,,,,,,,,,,,,,
Mill Creek,602,1033,2488,2197,890,1231,144,102,218,851,1403,2426,1192,2426
Paynes Creek,8,0,72,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stony Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thomes Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper-mid Sacramento River,562,7506,5759,8595,7139,1996,2714,574,1803,3527,10805,13025,9854,22744
Sutter Bypass,,,,,,,,,,,,,,
Bear River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feather River,38775,20566,61200,151209,63649,47289,44914,4847,5939,21909,76414,49160,54171,89946
Yuba River,4057,6507,11615,14880,7668,8928,14375,4635,3508,2604,8121,17630,15269,28316
Lower-mid Sacramento River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yolo Bypass,,,,,,,,,,,,,,
American River,14473,15732,26475,58228,38328,25626,14688,5297,2514,10120,24540,62679,99230,163742
Lower Sacramento River,,,,,,,,,,,,,,
Calaveras River,,,,,,,,,,,,,,
Cosumnes River,1248,204,373,0,1071,53,740,0,15,77,530,370,1208,122
Mokelumne River,1984,4581,3297,7071,5471,2674,1920,680,173,470,1732,10406,1588,2122
Merced River,2996,1206,811,1098,1000,371,146,246,76,79,150,421,1050,549
Stanislaus River,9330,6136,3060,2845,4006,1309,1086,595,865,443,1923,1427,4015,5902
Tuolumne River,1347,113,438,1926,783,893,540,124,388,224,562,668,1984,2163
San Joaquin River,,,,,,,,,,,,,,
North Delta,,,,,,,,,,,,,,
S. Central Delta,,,,,,,,,,,,,,
